List of neutral alleles - animals: 
2.00
20.00
6.00
10.00
11.00
12.00
13.00
14.00
15.00

List of neutral alleles - animals: 
2.00
3.00
6.00
8.00
9.00
10.00
12.00
13.00
15.00
16.00
18.00
19.00
20.00

List of neutral alleles - animals: 
2.00
3.00
5.00
7.00
10.00
11.00
13.00
14.00
15.00
16.00
18.00

List of neutral alleles - animals: 
2.00
3.00
4.00
6.00
7.00
8.00
12.00
13.00
15.00
16.00
17.00
18.00
19.00
20.00

List of neutral alleles - animals: 
17.00
3.00
4.00
5.00
20.00
11.00
12.00
13.00
14.00

List of neutral alleles - animals: 
2.00
3.00
5.00
6.00
8.00
9.00
10.00
11.00
12.00
15.00
18.00
19.00
20.00

List of neutral alleles - animals: 
3.00
20.00
5.00
6.00
7.00
8.00
4.00
13.00
14.00

List of neutral alleles - animals: 
16.00
17.00
19.00
20.00
8.00
9.00
10.00
11.00
13.00

List of neutral alleles - animals: 
17.00
2.00
3.00
20.00
7.00
10.00
11.00
13.00

List of neutral alleles - animals: 
2.00
4.00
6.00
7.00
8.00
9.00
11.00
12.00
14.00
15.00
16.00
19.00
20.00

