Complementarity events: 
0.14
0.11
0.07
0.10
0.05
0.04
0.09
0.16
0.09
0.43
0.08
0.33
0.05
0.10
0.11
0.16
0.07
0.37
0.48
0.20
0.08
0.34
0.55
0.07
0.04
0.10
0.10
0.05
0.10
0.71
0.07
0.34
0.07
0.14
0.15
0.09
0.28
0.35
0.12
0.26
0.15
0.05
0.15
0.07
0.14
0.54
0.58
0.04
0.74
0.10
0.50
0.07
0.09
0.04
0.05
0.07
0.11
0.51
0.33
0.16
0.34
0.62
0.55
0.07
0.07
0.03
0.04
0.47
0.16
0.03
0.14
0.32
0.03
0.52
0.50
0.03
0.04
0.04
0.15
0.08
0.32
0.34
0.64
0.12
0.09
0.01
0.02
0.04
0.10
0.01
0.04
0.16
0.15
0.14
0.07
0.07
0.02
0.53
0.20
0.07
0.33
0.26
0.10
0.08
0.14
0.26
0.01
0.31
0.09
0.39
0.01
0.07
0.07
0.11
0.09
0.04
0.14
0.07
0.80
0.83
0.84
0.82
0.27
0.05
0.01
0.28
0.07
0.79
0.05
0.08
0.16
0.02
0.39
0.15
0.08
0.84
0.20
0.82
0.05
0.01
0.76
0.03
0.02
0.13
0.01
0.11
0.09
0.82
0.18
0.06
0.13
0.07
0.33
0.07
0.10
0.38
0.04
0.59
0.84
0.03
0.03
0.50
0.10
0.12
0.03
0.06
0.83
0.74
0.09
0.10
0.78
0.16
0.21
0.26
0.49
0.13
0.38
0.32
0.09
0.07
0.03
0.09
0.08
0.14
0.09
0.80
0.08
0.80
0.29
0.03
0.08
0.04
0.84
0.76
0.22
0.08
0.68
0.71
0.39
0.04
0.10
0.74
0.08
0.11
0.26
0.02
0.07
0.01
0.08
0.03
0.19
0.72
0.82
0.03
0.04
0.01
0.02
0.02
0.06
0.16
0.10
0.07
0.10
0.01
0.03
0.54
0.08
0.10
0.07
0.08
0.01
0.08
0.37
0.09
0.03
0.57
0.22
0.07
0.84
0.07
0.05
0.15
0.83
0.74
0.09
0.12
0.02
0.09
0.63
0.07
0.16
0.54
0.64
0.01
0.09
0.07
0.19
0.06
0.83
0.72
0.07
0.22
0.35
0.08
0.08
0.22
0.29
0.14
0.01
0.02
0.09
0.55
0.07
0.10
0.77
0.82
0.09
0.79
0.13
0.72
0.84
0.05
0.09
0.66
0.10
0.03
0.09
0.09
0.39
0.48
0.29
0.03
0.03
0.12
0.74
0.13

Complementarity events: 
0.50
0.67
0.42
0.35
0.67
0.60
0.66
0.70
0.57
0.65
0.60
0.30
0.59
0.29
0.66
0.43
0.57
0.52
0.69
0.65
0.35
0.46
0.25
0.22
0.70
0.51
0.38
0.30
0.29
0.27
0.68
0.57
0.64
0.52
0.59
0.59
0.70
0.25
0.27
0.46
0.32
0.25
0.33
0.35
0.17
0.36
0.65
0.32
0.57
0.70
0.62
0.35
0.40
0.48
0.60
0.48
0.49
0.61
0.27
0.52
0.24
0.55
0.59
0.65
0.71
0.67
0.70
0.53
0.21
0.19
0.59
0.18
0.22
0.71
0.48
0.69
0.70
0.70
0.62
0.18
0.59
0.70
0.70
0.49
0.52
0.67
0.06
0.44
0.59
0.37
0.69
0.37
0.69
0.14
0.32
0.31
0.67
0.71
0.59
0.48
0.50
0.35
0.34
0.51
0.64
0.48
0.25
0.65
0.36
0.59
0.57
0.59
0.70
0.44
0.17
0.24
0.61
0.60
0.10
0.71
0.48
0.70
0.48
0.24
0.11
0.57
0.30
0.48
0.70
0.62
