Plants: 
38.00
1001.00
1.00
8.00
2.00
1.00
10.00
1.00
16.00
13.00
4.00
5.00
3.00
4.00
30.00
26.00
2.00
21.00
2.00
1.00
17.00
1.00
18.00
8.00
1.00
7.00
9.00
4.00
3.00
8.00
2.00
4.00
16.00
1.00
8.00
2.00
2.00
5.00
16.00
1.00
6.00
1.00
2.00
1.00
6.00
2.00
5.00
1.00
16.00
1.00
11.00
11.00
1.00
2.00
8.00
1.00
8.00
7.00
3.00
5.00
4.00
2.00
1.00
1.00
1.00
6.00
6.00
2.00
1.00
3.00
4.00
3.00
6.00
2.00
3.00
5.00
9.00
1.00
1.00
7.00
1.00
2.00
1.00
2.00
9.00
2.00
27.00
1.00
1.00
6.00
8.00
11.00
7.00
5.00
1.00
3.00
1.00
12.00
14.00
1.00
2.00
1.00
7.00
2.00
2.00
1.00
6.00
5.00
9.00
4.00
1.00
2.00
2.00
5.00
1.00
2.00
1.00
9.00
4.00
3.00
2.00
5.00
1.00
14.00
1.00
1.00
2.00
9.00
3.00
8.00
7.00
3.00
1.00
3.00
2.00
3.00
1.00
1.00
5.00
2.00
1.00
1.00
7.00
1.00
1.00
1.00
3.00
1.00
1.00
1.00
2.00
1.00
5.00
3.00
3.00
2.00
1.00
1.00
1.00
1.00
3.00
10.00
1.00
11.00
3.00
8.00
1.00
3.00
2.00
1.00
1.00
1.00
1.00
2.00
1.00
1.00
9.00
1.00
3.00
1.00
2.00
2.00
1.00
1.00
1.00
3.00
2.00
1.00
5.00
1.00
1.00
1.00
3.00
1.00
1.00
1.00
1.00
4.00
1.00
2.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
2.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
5.00
2.00
1.00
4.00
2.00
1.00
1.00
1.00
1.00
3.00
1.00
1.00
3.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
3.00
2.00
1.00
1.00
1.00
1.00
2.00
1.00
1.00
1.00
1.00
2.00
1.00
1.00
1.00
2.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
2.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
Animals: 
13.00
984.00
1.00
6.00
11.00
25.00
19.00
1.00
7.00
8.00
1.00
5.00
31.00
26.00
28.00
10.00
11.00
12.00
1.00
3.00
14.00
3.00
10.00
11.00
3.00
7.00
4.00
2.00
22.00
1.00
14.00
11.00
2.00
5.00
6.00
2.00
9.00
2.00
8.00
1.00
13.00
1.00
6.00
14.00
1.00
2.00
2.00
2.00
4.00
2.00
12.00
3.00
8.00
2.00
13.00
2.00
6.00
4.00
4.00
4.00
7.00
4.00
14.00
1.00
2.00
7.00
11.00
9.00
1.00
6.00
1.00
1.00
3.00
1.00
2.00
3.00
3.00
1.00
5.00
7.00
12.00
7.00
14.00
3.00
2.00
13.00
1.00
6.00
2.00
6.00
4.00
2.00
8.00
1.00
6.00
1.00
2.00
5.00
5.00
6.00
3.00
1.00
20.00
1.00
2.00
3.00
3.00
5.00
2.00
3.00
1.00
1.00
1.00
14.00
3.00
5.00
1.00
1.00
10.00
1.00
5.00
2.00
2.00
1.00
8.00
2.00
1.00
2.00
1.00
2.00
1.00
3.00
1.00
3.00
4.00
5.00
7.00
1.00
1.00
2.00
5.00
1.00
1.00
1.00
2.00
1.00
1.00
4.00
1.00
8.00
1.00
1.00
1.00
2.00
1.00
2.00
4.00
1.00
2.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
10.00
1.00
1.00
1.00
5.00
2.00
1.00
2.00
1.00
1.00
1.00
1.00
1.00
2.00
1.00
2.00
1.00
2.00
1.00
1.00
1.00
2.00
1.00
2.00
3.00
1.00
2.00
2.00
4.00
1.00
3.00
2.00
1.00
1.00
1.00
1.00
1.00
4.00
2.00
1.00
2.00
2.00
1.00
1.00
1.00
1.00
3.00
1.00
1.00
1.00
1.00
1.00
2.00
1.00
1.00
1.00
2.00
1.00
1.00
3.00
2.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
3.00
1.00
3.00
1.00
1.00
1.00
1.00
2.00
1.00
2.00
1.00
1.00
1.00
5.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
2.00
1.00
1.00
1.00
1.00
1.00
1.00
2.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
Plants: 
5.00
1002.00
10.00
1.00
1.00
1.00
41.00
6.00
16.00
6.00
11.00
25.00
1.00
8.00
8.00
12.00
7.00
3.00
2.00
6.00
6.00
2.00
17.00
20.00
1.00
4.00
1.00
2.00
4.00
3.00
1.00
4.00
2.00
22.00
5.00
1.00
3.00
24.00
3.00
3.00
13.00
14.00
2.00
5.00
8.00
1.00
4.00
2.00
1.00
3.00
1.00
17.00
17.00
1.00
3.00
1.00
2.00
5.00
3.00
4.00
5.00
26.00
1.00
14.00
2.00
12.00
2.00
2.00
1.00
5.00
8.00
4.00
9.00
4.00
8.00
9.00
4.00
9.00
12.00
29.00
3.00
8.00
2.00
8.00
1.00
4.00
1.00
1.00
2.00
6.00
1.00
12.00
2.00
2.00
2.00
16.00
5.00
2.00
4.00
1.00
1.00
2.00
6.00
2.00
8.00
11.00
1.00
2.00
5.00
10.00
4.00
1.00
2.00
4.00
1.00
1.00
1.00
7.00
1.00
3.00
4.00
5.00
3.00
1.00
2.00
1.00
3.00
3.00
5.00
4.00
1.00
2.00
1.00
1.00
2.00
1.00
2.00
1.00
1.00
9.00
2.00
4.00
4.00
3.00
4.00
2.00
1.00
1.00
2.00
2.00
2.00
1.00
1.00
6.00
3.00
1.00
1.00
1.00
1.00
2.00
4.00
1.00
2.00
1.00
2.00
2.00
1.00
1.00
2.00
2.00
4.00
1.00
1.00
1.00
1.00
1.00
1.00
4.00
2.00
3.00
2.00
1.00
5.00
1.00
2.00
1.00
1.00
3.00
1.00
1.00
2.00
1.00
2.00
3.00
1.00
1.00
1.00
1.00
3.00
2.00
1.00
2.00
2.00
1.00
1.00
1.00
3.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
3.00
1.00
1.00
1.00
3.00
1.00
2.00
1.00
1.00
2.00
3.00
1.00
1.00
2.00
1.00
1.00
2.00
2.00
1.00
1.00
3.00
1.00
2.00
1.00
2.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
2.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
2.00
1.00
1.00
1.00
Animals: 
1010.00
3.00
20.00
17.00
4.00
1.00
1.00
9.00
13.00
1.00
4.00
9.00
58.00
11.00
18.00
4.00
19.00
7.00
1.00
15.00
4.00
1.00
3.00
1.00
4.00
1.00
4.00
14.00
1.00
12.00
13.00
46.00
7.00
7.00
6.00
6.00
5.00
1.00
15.00
10.00
10.00
2.00
12.00
1.00
15.00
1.00
3.00
1.00
9.00
12.00
11.00
11.00
7.00
1.00
2.00
25.00
9.00
2.00
18.00
1.00
5.00
1.00
1.00
16.00
6.00
1.00
6.00
1.00
6.00
1.00
4.00
10.00
4.00
1.00
10.00
11.00
2.00
4.00
2.00
4.00
8.00
13.00
2.00
1.00
1.00
13.00
5.00
3.00
2.00
2.00
1.00
2.00
2.00
4.00
2.00
1.00
5.00
1.00
4.00
2.00
1.00
3.00
2.00
1.00
1.00
1.00
4.00
6.00
1.00
3.00
2.00
7.00
1.00
5.00
2.00
1.00
1.00
9.00
2.00
1.00
1.00
1.00
5.00
5.00
1.00
2.00
1.00
4.00
1.00
3.00
2.00
1.00
1.00
1.00
4.00
1.00
7.00
5.00
1.00
1.00
1.00
1.00
1.00
4.00
1.00
1.00
3.00
2.00
3.00
5.00
2.00
1.00
4.00
2.00
1.00
5.00
1.00
6.00
1.00
1.00
3.00
1.00
1.00
5.00
1.00
1.00
2.00
2.00
1.00
1.00
1.00
3.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
4.00
3.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
2.00
2.00
2.00
4.00
1.00
1.00
2.00
4.00
1.00
