List of neutral alleles - plants: 
5.00
6.00
8.00
9.00
11.00
12.00
13.00
14.00
15.00
16.00
17.00
19.00
20.00

List of neutral alleles - plants: 
18.00
3.00
5.00
6.00
7.00
8.00
14.00
15.00

List of neutral alleles - plants: 
4.00
5.00
6.00
9.00
10.00
12.00
14.00
16.00
17.00
19.00
20.00

List of neutral alleles - plants: 
2.00
3.00
5.00
7.00
8.00
9.00
12.00
14.00
15.00
16.00
17.00
18.00
20.00

List of neutral alleles - plants: 
2.00
3.00
7.00
10.00
11.00
12.00
15.00
16.00
17.00
20.00

List of neutral alleles - plants: 
16.00
17.00
2.00
4.00
9.00
10.00
12.00
13.00
15.00

List of neutral alleles - plants: 
3.00
4.00
5.00
6.00
7.00
8.00
9.00
10.00
16.00
17.00
18.00
20.00

List of neutral alleles - plants: 
2.00
4.00
5.00
6.00
7.00
8.00
9.00
10.00
13.00
14.00
16.00
17.00

List of neutral alleles - plants: 
2.00
3.00
4.00
5.00
7.00
8.00
9.00
12.00
14.00
17.00
18.00
19.00
20.00

List of neutral alleles - plants: 
16.00
19.00
2.00
3.00
4.00
5.00
17.00
20.00

List of neutral alleles - plants: 
18.00
19.00
5.00
7.00
10.00
12.00
13.00

List of neutral alleles - plants: 
2.00
3.00
4.00
5.00
7.00
10.00
13.00
14.00
17.00
18.00
20.00

List of neutral alleles - plants: 
10.00
11.00
18.00
15.00

List of neutral alleles - plants: 
2.00
3.00
4.00
5.00
9.00
12.00
13.00
15.00
16.00
18.00
19.00
20.00

List of neutral alleles - plants: 
3.00
4.00
5.00
6.00
7.00
8.00
9.00
10.00
13.00
15.00
19.00

List of neutral alleles - plants: 
2.00
3.00
4.00
5.00
7.00
9.00
10.00
11.00
12.00
14.00
15.00
16.00
18.00
20.00

List of neutral alleles - plants: 
2.00
6.00
7.00
8.00
11.00
12.00
13.00
16.00
18.00
20.00

List of neutral alleles - plants: 
2.00
3.00
4.00
5.00
8.00
9.00
10.00
11.00
12.00
14.00
15.00
17.00

List of neutral alleles - plants: 
19.00
17.00
3.00
20.00
5.00
7.00
8.00
13.00

List of neutral alleles - plants: 
3.00
4.00
5.00
6.00
8.00
12.00
15.00
18.00
19.00
20.00

