149.56,152.02,152.44,153.16,147.25,149.06,150.25,152.20,152.89,148.75,146.06,149.08,146.93,149.64,151.01,148.09,150.15,151.70,146.10,148.17,146.79,147.06,151.06,145.62,148.41,152.00,148.54,148.76,152.29,150.66,151.83,145.01,154.27,149.12,146.33,154.76,145.46,150.56,154.17,150.13,153.39,147.94,153.89,155.04,147.78,141.36,153.30,149.87,152.10,148.30,150.09,147.58,149.20,148.38,152.32,150.02,155.43,152.17,155.10,147.53,154.33,146.03,146.63,149.47,146.40,152.31,148.38,155.36,160.72,149.22,148.92,146.49,149.31,146.67,142.76,149.59,152.07,149.50,141.39,149.68,154.31,149.97,140.23,153.83,142.70,149.39,148.21,152.28,148.18,155.16,150.95,146.50,151.52,148.68,142.19,149.82,142.84,150.52,150.14,148.74,151.22,146.88,148.94,140.07,143.86,153.11,147.91,156.42,149.96,153.34,147.26,144.28,145.44,157.04,143.68,152.62,153.07,149.50,147.09,150.19,151.15,150.06,150.12,139.51,155.30,141.79,153.83,150.20,153.40,153.07,144.66,155.25,154.05,138.92,139.41,149.88,149.83,146.25,153.22,147.47,146.23,147.15,159.30,146.44,155.42,157.79,141.60,154.17,150.09,146.34,150.57,146.11,151.34,140.24,148.16,155.34,148.04,143.91,143.47,154.38,137.59,149.82,142.49,148.96,152.88,155.05,153.21,150.81,156.95,140.24,148.44,149.01,150.49,142.76,152.29,154.92,158.32,151.84,151.07,152.83,138.67,147.15,152.69,153.06,149.31,145.93,145.78,155.09,139.03,147.75,150.47,153.72,151.25,152.32,138.82,151.13,151.03,156.26,147.33,140.56,154.12,152.44,144.24,141.51,145.97,149.78,148.69,145.15,150.59,145.43,142.40,150.59,148.54,136.30,143.10,150.24,157.95,141.59,142.11,153.45,150.63,149.51,152.52,144.78,151.51,151.78,150.41,148.97,151.70,155.82,150.08,149.71,144.10,158.96,152.39,149.07,158.86,154.70,146.42,153.36,149.69,146.91,146.91,150.15,147.22,152.58,154.90,148.92,146.67,150.63,151.47,149.45,151.80,152.44,151.80,142.44,148.79,143.66,149.87,145.27,150.47,148.36,152.32,138.83,151.00,138.83,149.53,141.95,144.70,158.64,139.18,148.66,149.71,143.94,156.69,145.05,149.46,149.60,154.22,155.85,150.19,155.68,152.76,149.68,151.76
4.36,4.29,4.14,3.01,4.04,3.40,5.70,3.86,2.55,4.12,4.79,3.41,4.38,1.64,4.90,2.17,2.38,3.30,5.49,3.27,4.35,5.39,3.87,4.35,4.76,2.82,2.70,1.94,2.17,2.66,5.91,4.85,2.16,2.09,4.70,1.13,4.73,3.80,1.46,1.47,1.02,2.79,5.00,0.92,3.73,3.61,1.43,4.48,5.53,0.66,4.56,5.56,2.75,4.00,5.03,5.89,1.38,3.90,1.59,0.96,0.92,5.27,5.63,3.42,1.27,0.53,4.74,0.92,0.95,5.66,1.32,3.99,1.06,3.01,4.77,0.60,0.91,1.53,3.27,4.54,5.59,1.16,3.16,1.58,2.97,3.32,1.57,2.66,3.04,0.08,0.83,4.25,6.74,0.58,0.77,1.51,4.86,2.36,2.58,1.46,0.76,5.55,1.75,0.28,0.22,5.18,5.24,0.03,0.03,1.51,0.38,5.40,5.25,3.65,4.11,0.47,0.06,0.02,1.27,0.89,1.21,0.24,0.45,0.19,1.89,0.72,1.36,6.24,1.28,0.08,0.38,0.50,0.18,0.34,1.84,5.92,1.48,0.12,1.52,5.92,4.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Convergence events: 
0.75
0.88
0.87
0.87
1.00
1.00
0.85
0.87
0.83
0.81
1.00
0.72
1.00
0.99
0.82
1.00
0.89
0.89
0.36
0.58
1.00
0.66
0.94
1.00
1.00
0.88
1.00
1.00
0.76
0.56
0.85
1.00
0.92
1.00
1.00
0.59
0.68
0.95
0.69
0.96
0.79
1.00
0.87
0.25
1.00
0.72
0.80
0.98
0.27
1.00
0.96
0.61
0.74
1.00
0.80
0.62
0.35
0.24
0.52
0.64
0.24
1.00
0.53
0.99
1.00
0.72
1.00
0.27
0.28
0.64
1.00
0.89
0.37
0.59
0.73
0.73
0.73
0.99
0.91
0.99
0.79
0.97
0.91
0.24
0.91
0.71
1.00
0.80
1.00
0.27
0.23
0.89
0.28
0.71
0.48
0.35
0.91
0.95
0.96
1.00
0.18
0.73
1.00
0.48
0.77
0.75
0.59
0.28
0.75
0.80
0.21
0.69
0.69
0.73
0.91
0.14
0.17
0.72
0.62
