Complementarity events: 
0.06
0.47
0.41
0.41
0.41
0.41
0.47
0.24
0.06
0.35
0.41
0.53
0.35
0.47
0.53
0.35
0.35
0.29
0.35

Complementarity events: 
0.18
0.29
0.53
0.24
0.59
0.29
0.18
0.24
0.24
0.18
0.06
0.24
0.18
0.06
0.24
0.00
0.24

Complementarity events: 
0.22
0.44
0.22
0.28
0.22
0.22
0.44
0.22
0.28
0.28
0.39
0.44
0.44
0.00
0.22
0.33
0.22
0.44

Complementarity events: 
0.20
0.47
0.47
0.67
0.67
0.47
0.27
0.27
0.67
0.47
0.47
0.47
0.27
0.27
0.27
0.67

Complementarity events: 
0.21
0.26
0.21
0.05
0.05
0.21
0.05
0.21
0.05
0.37
0.05
0.05
0.26
0.05
0.05
0.47

Complementarity events: 
0.56
0.06
0.00
0.00
0.06
0.00
0.00
0.06
0.00
0.00
0.12
0.06
0.06
0.06
0.06
0.44
0.06

Complementarity events: 
0.44
0.22
0.22
0.00
0.00
0.00
0.17
0.17
0.22
0.06
0.33
0.00
0.28
0.22
0.11
0.06
0.00
0.00
0.28

Complementarity events: 
0.28
0.11
0.06
0.06
0.17
0.17
0.11
0.11
0.17
0.06
0.11
0.00
0.00
0.06
0.00
0.28
0.28
0.00
0.28

Complementarity events: 
0.12
0.19
0.00
0.38
0.19
0.38
0.00
0.38
0.00
0.38
0.19
0.25
0.00
0.06
0.00
0.00
0.44

Complementarity events: 
0.26
0.05
0.26
0.26
0.26
0.26
0.26
0.05
0.05
0.37
0.26
0.00
0.05
0.05
0.21
0.21
0.05
0.21
0.05
0.26
0.26

Complementarity events: 
0.06
0.41
0.00
0.06
0.00
0.00
0.06
0.00
0.06
0.24
0.00
0.12
0.00
0.35
0.00
0.47
0.00
0.24

Complementarity events: 
0.35
0.00
0.06
0.00
0.06
0.06
0.00
0.00
0.06
0.00
0.24
0.00
0.24
0.06
0.35
0.00
0.00
0.06

Complementarity events: 
0.05
0.26
0.21
0.11
0.05
0.26
0.16
0.00
0.21
0.32
0.11
0.42
0.16
0.11
0.53
0.21
0.00
0.00
0.53

Complementarity events: 
0.19
0.06
0.00
0.06
0.19
0.06
0.06
0.19
0.00
0.12
0.06
0.00
0.06
0.19
0.19
0.19

Complementarity events: 
0.15
0.23
0.00
0.31
0.23
0.62
0.23
0.00
0.23
0.00
0.00
0.15
0.00
0.00
0.00
0.00
0.00
0.00
0.23

