Complementarity events: 
0.00
0.07
0.13
0.20
0.07
0.13
0.07
0.20
0.07
0.20
0.13
0.00
0.20
0.07
0.00
0.07
0.40
0.27
0.00

Complementarity events: 
0.12
0.12
0.00
0.12
0.18
0.00
0.06
0.29
0.00
0.06
0.18
0.00
0.00
0.06
0.12

Complementarity events: 
0.33
0.13
0.07
0.07
0.00
0.07
0.07
0.13
0.13
0.07
0.07
0.13
0.07
0.07
0.13

Complementarity events: 
0.14
0.00
0.07
0.07
0.00
0.07
0.00
0.07
0.07
0.00
0.07
0.14
0.00
0.00
0.14
0.00
0.14
0.43

Complementarity events: 
0.00
0.06
0.11
0.11
0.11
0.11
0.11
0.11
0.06
0.11
0.06
0.11
0.11
0.00

Complementarity events: 
0.18
0.06
0.00
0.00
0.06
0.06
0.00
0.00
0.06
0.12
0.06
0.00
0.00
0.06
0.18
0.06
0.18
0.00
0.12
0.18

Complementarity events: 
0.10
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.00
0.05
0.00
0.10
0.05
0.00
0.10
0.10
0.10

Complementarity events: 
0.18
0.35
0.18
0.35
0.18
0.12
0.35
0.35
0.18
0.12
0.29
0.06
0.06
0.00
0.06
0.06
0.06
0.12

Complementarity events: 
0.50
0.05
0.20
0.05
0.15
0.15
0.10
0.20
0.15
0.05
0.15
0.05
0.15
0.15
0.05
0.50

Complementarity events: 
0.43
0.00
0.07
0.07
0.00
0.07
0.07
0.00
0.07
0.00
0.07
0.21
0.07
0.00
0.07
0.43

